eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A10,,Quadrat count,0.25,m^2,"POLYGON ((566458.545877479 4076472.81282224,566458.265649214 4076472.4063147,566457.859141676 4076472.68654297,566458.139369941 4076473.09305051,566458.545877479 4076472.81282224))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A10,,Quadrat count,0.25,m^2,"POLYGON ((566458.285174535 4076472.22225514,566458.68862776 4076471.92931531,566458.395687932 4076471.52586208,566457.992234706 4076471.81880191,566458.285174535 4076472.22225514))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A10,,Quadrat count,0.25,m^2,"POLYGON ((566458.871196231 4076471.94078594,566459.148001939 4076472.34269909,566459.549915088 4076472.06589339,566459.27310938 4076471.66398024,566458.871196231 4076471.94078594))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A10,,Quadrat count,0.25,m^2,"POLYGON ((566458.69265022 4076472.74629369,566458.980783153 4076473.13734981,566459.371839275 4076472.84921688,566459.083706343 4076472.45816076,566458.69265022 4076472.74629369))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A11,,Quadrat count,0.25,m^2,"POLYGON ((566456.573041355 4076474.38128456,566456.967636049 4076474.6825695,566457.268920982 4076474.2879748,566456.874326288 4076473.98668987,566456.573041355 4076474.38128456))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A11,,Quadrat count,0.25,m^2,"POLYGON ((566456.1292847 4076474.7931078,566456.435619571 4076474.38680123,566456.029313002 4076474.08046636,566455.72297813 4076474.48677293,566456.1292847 4076474.7931078))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A11,,Quadrat count,0.25,m^2,"POLYGON ((566456.591171633 4076475.22031357,566456.198081335 4076474.92875623,566455.906524002 4076475.32184653,566456.299614299 4076475.61340386,566456.591171633 4076475.22031357))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A11,,Quadrat count,0.25,m^2,"POLYGON ((566457.020199126 4076474.86754324,566456.732838399 4076475.25752891,566457.122824071 4076475.54488964,566457.410184798 4076475.15490396,566457.020199126 4076474.86754324))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A16,,Quadrat count,0.25,m^2,"POLYGON ((566417.870180071 4076507.00956124,566417.45869031 4076506.78243124,566417.231560309 4076507.193921,566417.64305007 4076507.421051,566417.870180071 4076507.00956124))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A16,,Quadrat count,0.25,m^2,"POLYGON ((566416.768756639 4076507.64720011,566417.010544776 4076507.21521255,566416.578557218 4076506.97342441,566416.336769081 4076507.40541197,566416.768756639 4076507.64720011))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,
